설비ID,설비명,상태,진동(mm/s),온도(°C),수정일
1A,설비 1A,Critical,8.4,72,2026-07-31T07:51:44+00:00
1B,설비 1B,Normal,2.1,45,2026-07-31T07:51:44+00:00
1C,설비 1C,Normal,1.8,42,2026-07-31T07:51:44+00:00
2A,설비 2A,Normal,1.7,42,2026-07-31T07:51:44+00:00
2B,설비 2B,Warning,3.1,41,2026-07-31T07:51:44+00:00
2C,설비 2C,Normal,1.9,44,2026-07-31T07:51:44+00:00
3A,설비 3A,Normal,1.4,82,2026-07-31T07:51:44+00:00
3B,설비 3B,Normal,1.6,86,2026-07-31T07:51:44+00:00
3C,설비 3C,Normal,2,45,2026-07-31T07:51:44+00:00
4A,설비 4A,Normal,1.7,41,2026-07-31T07:51:44+00:00
4B,설비 4B,Normal,2.4,49,2026-07-31T07:51:44+00:00
4C,설비 4C,Normal,2.1,45,2026-07-31T07:51:44+00:00
5A,설비 5A,Normal,2.2,46,2026-07-31T07:51:44+00:00
5B,설비 5B,Normal,1.9,43,2026-07-31T07:51:44+00:00
5C,설비 5C,Normal,2,44,2026-07-31T07:51:44+00:00
