설비ID,진동(mm/s),온도(°C),측정시각
1A,7.7,70,2026-07-26T09:00:00+09:00
1A,8.7,73,2026-07-27T09:00:00+09:00
1A,8.1,71,2026-07-28T09:00:00+09:00
1A,9.1,74,2026-07-29T09:00:00+09:00
1A,8.5,72,2026-07-30T09:00:00+09:00
1B,1.9,43,2026-07-26T09:00:00+09:00
1B,2.2,46,2026-07-27T09:00:00+09:00
1B,2,44,2026-07-28T09:00:00+09:00
1B,2.3,47,2026-07-29T09:00:00+09:00
1B,2.1,45,2026-07-30T09:00:00+09:00
1C,1.7,40,2026-07-26T09:00:00+09:00
1C,1.9,43,2026-07-27T09:00:00+09:00
1C,1.7,41,2026-07-28T09:00:00+09:00
1C,1.9,44,2026-07-29T09:00:00+09:00
1C,1.8,42,2026-07-30T09:00:00+09:00
2A,1.6,40,2026-07-26T09:00:00+09:00
2A,1.8,43,2026-07-27T09:00:00+09:00
2A,1.6,41,2026-07-28T09:00:00+09:00
2A,1.8,44,2026-07-29T09:00:00+09:00
2A,1.7,42,2026-07-30T09:00:00+09:00
2B,2.9,39,2026-07-26T09:00:00+09:00
2B,3.2,42,2026-07-27T09:00:00+09:00
2B,3,40,2026-07-28T09:00:00+09:00
2B,3.3,43,2026-07-29T09:00:00+09:00
2B,3.1,41,2026-07-30T09:00:00+09:00
2C,1.7,42,2026-07-26T09:00:00+09:00
2C,2,45,2026-07-27T09:00:00+09:00
2C,1.8,43,2026-07-28T09:00:00+09:00
2C,2.1,46,2026-07-29T09:00:00+09:00
2C,1.9,44,2026-07-30T09:00:00+09:00
3A,1.3,80,2026-07-26T09:00:00+09:00
3A,1.5,83,2026-07-27T09:00:00+09:00
3A,1.4,81,2026-07-28T09:00:00+09:00
3A,1.5,84,2026-07-29T09:00:00+09:00
3A,1.4,82,2026-07-30T09:00:00+09:00
3B,1.5,84,2026-07-26T09:00:00+09:00
3B,1.7,87,2026-07-27T09:00:00+09:00
3B,1.6,85,2026-07-28T09:00:00+09:00
3B,1.7,88,2026-07-29T09:00:00+09:00
3B,1.6,86,2026-07-30T09:00:00+09:00
3C,1.8,43,2026-07-26T09:00:00+09:00
3C,2.1,46,2026-07-27T09:00:00+09:00
3C,1.9,44,2026-07-28T09:00:00+09:00
3C,2.2,47,2026-07-29T09:00:00+09:00
3C,2,45,2026-07-30T09:00:00+09:00
4A,1.6,39,2026-07-26T09:00:00+09:00
4A,1.8,42,2026-07-27T09:00:00+09:00
4A,1.6,40,2026-07-28T09:00:00+09:00
4A,1.8,43,2026-07-29T09:00:00+09:00
4A,1.7,41,2026-07-30T09:00:00+09:00
4B,2.2,47,2026-07-26T09:00:00+09:00
4B,2.5,50,2026-07-27T09:00:00+09:00
4B,2.3,48,2026-07-28T09:00:00+09:00
4B,2.6,51,2026-07-29T09:00:00+09:00
4B,2.4,49,2026-07-30T09:00:00+09:00
4C,1.9,43,2026-07-26T09:00:00+09:00
4C,2.2,46,2026-07-27T09:00:00+09:00
4C,2,44,2026-07-28T09:00:00+09:00
4C,2.3,47,2026-07-29T09:00:00+09:00
4C,2.1,45,2026-07-30T09:00:00+09:00
5A,2,44,2026-07-26T09:00:00+09:00
5A,2.3,47,2026-07-27T09:00:00+09:00
5A,2.1,45,2026-07-28T09:00:00+09:00
5A,2.4,48,2026-07-29T09:00:00+09:00
5A,2.2,46,2026-07-30T09:00:00+09:00
5B,1.7,41,2026-07-26T09:00:00+09:00
5B,2,44,2026-07-27T09:00:00+09:00
5B,1.8,42,2026-07-28T09:00:00+09:00
5B,2.1,45,2026-07-29T09:00:00+09:00
5B,1.9,43,2026-07-30T09:00:00+09:00
5C,1.8,42,2026-07-26T09:00:00+09:00
5C,2.1,45,2026-07-27T09:00:00+09:00
5C,1.9,43,2026-07-28T09:00:00+09:00
5C,2.2,46,2026-07-29T09:00:00+09:00
5C,2,44,2026-07-30T09:00:00+09:00
